sensor_id,timestamp,aqi,traffic_density,energy_kwh
sensor_kallio,2024-01-01 00:00:00,29.4,0.095,309.0
sensor_kamppi,2024-01-01 00:00:00,37.4,0.096,281.3
sensor_pasila,2024-01-01 00:00:00,32.1,0.092,306.9
sensor_kallio,2024-01-01 00:30:00,31.2,0.107,334.5
sensor_kamppi,2024-01-01 00:30:00,37.0,0.103,296.4
sensor_pasila,2024-01-01 00:30:00,25.3,0.107,337.4
sensor_kallio,2024-01-01 01:00:00,31.9,0.097,283.1
sensor_kamppi,2024-01-01 01:00:00,17.1,0.091,282.3
sensor_pasila,2024-01-01 01:00:00,36.0,0.093,280.0
sensor_kallio,2024-01-01 01:30:00,33.3,0.123,250.2
sensor_kamppi,2024-01-01 01:30:00,37.3,0.055,220.0
sensor_pasila,2024-01-01 01:30:00,28.6,0.073,290.0
sensor_kallio,2024-01-01 02:00:00,38.2,0.063,274.9
sensor_kamppi,2024-01-01 02:00:00,23.5,0.097,252.1
sensor_pasila,2024-01-01 02:00:00,34.1,0.125,270.8
sensor_kallio,2024-01-01 02:30:00,36.0,0.12,267.6
sensor_kamppi,2024-01-01 02:30:00,27.2,0.078,248.6
sensor_pasila,2024-01-01 02:30:00,36.0,0.093,304.7
sensor_kallio,2024-01-01 03:00:00,30.3,0.067,287.8
sensor_kamppi,2024-01-01 03:00:00,50.2,0.116,289.2
sensor_pasila,2024-01-01 03:00:00,43.1,0.098,244.0
sensor_kallio,2024-01-01 03:30:00,32.3,0.129,243.6
sensor_kamppi,2024-01-01 03:30:00,36.3,0.108,266.1
sensor_pasila,2024-01-01 03:30:00,39.6,0.118,318.9
sensor_kallio,2024-01-01 04:00:00,43.2,0.087,300.0
sensor_kamppi,2024-01-01 04:00:00,30.6,0.134,299.9
sensor_pasila,2024-01-01 04:00:00,38.5,0.128,296.7
sensor_kallio,2024-01-01 04:30:00,36.8,0.05,289.5
sensor_kamppi,2024-01-01 04:30:00,33.2,0.118,335.1
sensor_pasila,2024-01-01 04:30:00,38.8,0.114,314.6
sensor_kallio,2024-01-01 05:00:00,49.6,0.172,367.4
sensor_kamppi,2024-01-01 05:00:00,31.9,0.172,369.6
sensor_pasila,2024-01-01 05:00:00,48.1,0.144,401.0
sensor_kallio,2024-01-01 05:30:00,39.5,0.193,364.3
sensor_kamppi,2024-01-01 05:30:00,36.8,0.111,358.9
sensor_pasila,2024-01-01 05:30:00,49.1,0.17,375.7
sensor_kallio,2024-01-01 06:00:00,28.5,0.32,419.7
sensor_kamppi,2024-01-01 06:00:00,39.6,0.28,408.5
sensor_pasila,2024-01-01 06:00:00,53.7,0.267,400.0
sensor_kallio,2024-01-01 06:30:00,54.6,0.286,401.3
sensor_kamppi,2024-01-01 06:30:00,46.1,0.262,413.0
sensor_pasila,2024-01-01 06:30:00,39.1,0.326,408.7
sensor_kallio,2024-01-01 07:00:00,89.0,0.592,463.6
sensor_kamppi,2024-01-01 07:00:00,60.0,0.58,442.8
sensor_pasila,2024-01-01 07:00:00,81.7,0.533,456.1
sensor_kallio,2024-01-01 07:30:00,77.1,0.63,450.6
sensor_kamppi,2024-01-01 07:30:00,73.5,0.568,411.4
sensor_pasila,2024-01-01 07:30:00,74.0,0.578,476.7
sensor_kallio,2024-01-01 08:00:00,71.2,0.76,404.9
sensor_kamppi,2024-01-01 08:00:00,71.5,0.758,452.8
sensor_pasila,2024-01-01 08:00:00,82.7,0.749,414.0
sensor_kallio,2024-01-01 08:30:00,78.7,0.766,446.1
sensor_kamppi,2024-01-01 08:30:00,68.5,0.784,438.1
